timestamp,dpid,port,tx_bytes,rx_bytes
1743239665.8125505,3,3,197164147,6033946782
1743239675.2737713,4,4294967294,0,0
1743239675.2738135,4,1,645318152,6878712881
1743239675.273823,4,4,1291215042,20508
1743239675.2738302,4,2,6550627622,981867947
1743239675.2738369,4,5,1294006062,20818
1743239675.2738547,4,3,1293885556,20782
1743239675.3172708,2,4294967294,0,0
1743239675.3173063,2,1,647673146,979296834
1743239675.3173149,2,4,1297609095,23342
1743239675.3173206,2,2,649992315,986545459
1743239675.3173268,2,3,1298087655,141070
1743239675.4705236,1,4294967294,0,0
1743239675.4705586,1,1,991218414,655462686
1743239675.4705675,1,2,855241681,6764012664
1743239675.470574,1,3,6894812041,655926112
1743239676.722672,3,4294967294,0,0
1743239676.722708,3,4,1473566165,5500
1743239676.722716,3,1,6791617824,882732881
1743239676.7227225,3,2,1030464719,678909115
1743239676.7227292,3,3,1030165867,6582468442
1743239685.4910963,1,4294967294,0,0
1743239685.4911432,1,1,1682386254,1112288590
1743239685.4911551,1,2,1451075161,7364348004
1743239685.4911635,1,3,7586458423,1112853572
1743239685.518315,4,4294967294,0,0
1743239685.5183547,4,1,1122798892,7601433603
1743239685.5183659,4,4,2246667824,20508
1743239685.5183744,4,2,7029743224,1709528287
1743239685.518382,4,5,2250230164,20818
1743239685.5183897,4,3,2250053118,20782
1743239685.645012,2,4294967294,0,0
1743239685.6450472,2,1,1116263550,1688462654
1743239685.6450577,2,4,2235988159,23342
1743239685.6450658,2,2,1120034719,1701475981
1743239685.6450737,2,3,2237005195,141294
1743239686.7159297,3,4294967294,0,0
1743239686.7159667,3,4,2429366149,5584
1743239686.7159765,3,1,7366986684,1453674681
1743239686.7159839,3,2,1698546241,1118113459
1743239686.715991,3,3,1697821207,7022083924
1743239695.2981985,4,4294967294,0,0
1743239695.2982414,4,1,1559022372,8261815869
1743239695.2982519,4,4,3119628348,20508
1743239695.2982597,4,2,7467709670,2374545869
1743239695.2982676,4,5,3123918448,20818
1743239695.298275,4,3,3124018162,20866
1743239695.3520973,3,4294967294,0,0
1743239695.3521378,3,4,3403784335,5584
1743239695.3521488,3,1,7953969910,2036130401
1743239695.352157,3,2,2379141625,1565540481
1743239695.3521647,3,3,2378503449,7470322390
1743239695.6150622,2,4294967294,0,0
1743239695.6150985,2,1,1561889034,2362659694
1743239695.615109,2,4,3128990683,23342
1743239695.6151164,2,2,1566966741,2381308625
1743239695.6151237,2,3,3129906697,141476
1743239697.1720846,1,4294967294,0,0
1743239697.2276413,1,1,2479462094,1639093854
1743239697.2277842,1,2,2138203141,8056937830
1743239697.227802,1,3,8384011789,1639877212
1743239705.2720575,1,4294967294,0,0
1743239705.2721012,1,1,3033594354,2005271094
1743239705.272112,1,2,2615939521,8538127330
1743239705.2721195,1,3,8938527289,2006138712
1743239705.505942,3,4294967294,0,0
1743239705.50598,3,4,4398277615,5584
1743239705.5059898,3,1,8553070170,2630764001
1743239705.5059981,3,2,3074355485,2022635623
1743239705.5060058,3,3,3072944229,7927574130
1743239705.710207,4,4294967294,0,0
1743239705.7102427,4,1,2014781632,8951635329
1743239705.7102537,4,4,4031458608,20508
1743239705.7102623,4,2,7925154130,3069273089
1743239705.7102702,4,5,4037226228,20818
1743239705.7102778,4,3,4036498742,20866
1743239705.818644,2,4294967294,0,0
1743239705.8186858,2,1,2007769194,3037317414
1743239705.8186965,2,4,4021403523,23342
1743239705.8187048,2,2,2014149123,3061424105
1743239705.8187132,2,3,4023234737,141686
1743239715.328071,2,4294967294,0,0
1743239715.3281178,2,1,2455533410,3714948874
1743239715.328128,2,4,4918208419,23342
1743239715.3281367,2,2,2462830421,3743920963
1743239715.328144,2,3,4920063515,141784
1743239715.38097,4,4294967294,0,0
1743239715.3810093,4,1,2458026070,9622458523
1743239715.3810194,4,4,4918783044,20508
1743239715.3810277,4,2,8369781928,3744573307
1743239715.3810353,4,5,4925703782,21014
1743239715.3810432,4,3,4924691298,20866
1743239715.5441408,1,4294967294,0,0
1743239715.5518584,1,1,3729978834,2465488410
1743239715.5519142,1,2,3216304121,9143160086
1743239715.5519235,1,3,9635304543,2466515650
1743239725.7778866,1,4294967294,0,0
1743239725.777931,1,1,4397352134,2906536930
1743239725.7779424,1,2,3791648121,9722836766
1743239725.777951,1,3,10303088363,2907689350
1743239725.778058,3,4294967294,0,0
1743239725.7780697,3,4,6344930871,5584
1743239725.7780786,3,1,9725668606,3794437061
1743239725.7780962,3,2,4435606683,2917547761
1743239725.7781034,3,3,4433190027,8823203028
1743239725.907841,2,4294967294,0,0
1743239725.9078798,2,1,2920847930,4419066134
1743239725.9078898,2,4,5850196619,23342
1743239725.9078972,2,2,2929904061,4454370263
1743239725.9079041,2,3,5852485335,141826
1743239727.224639,4,4294967294,0,0
1743239727.228668,4,1,2914921410,10314081983
1743239727.228782,4,4,5833743244,20508
1743239727.2287931,4,2,8828670028,4441495247
1743239727.2288008,4,5,5841922162,21056
1743239727.2288077,4,3,5841440538,20866
1743239735.5399482,2,4294967294,0,0
1743239735.5437932,2,1,3362459650,5087236934
1743239735.5438924,2,4,6734640179,23342
1743239735.5439825,2,2,3372370481,5127372043
1743239735.5440688,2,3,6736400895,141826
1743239735.547794,1,4294967294,0,0
1743239735.5478997,1,1,5082717914,3359472490
1743239735.5479877,1,2,4382470001,10318187346
1743239735.548064,1,3,10988794703,3360712250
1743239737.85296,3,4294967294,0,0
1743239737.8530037,3,4,7573571911,5584
1743239737.8530157,3,1,10465797446,4529030041
1743239737.8530242,3,2,5294277023,3482131121
1743239737.8530324,3,3,5291345347,9388304048
1743239744.6036918,4,4294967294,0,0
1743239744.6079073,4,1,3541980370,11263128763
1743239744.6117194,4,4,7087266064,20508
1743239744.6118255,4,2,9457232908,5396008147
1743239744.6127996,4,5,7096282962,21056
1743239744.615665,4,3,7095348798,20866
1743239745.4746392,3,4294967294,0,0
1743239745.4746852,3,4,8329921571,5584
1743239745.4746969,3,1,10921453306,4981079661
1743239745.4747057,3,2,5822845283,3829584601
1743239745.4747138,3,3,5819630027,9736114368
1743239746.0858898,2,4294967294,0,0
1743239746.089698,2,1,3841162490,5811576154
1743239746.0897253,2,4,7693325599,23342
1743239746.0897355,2,2,3852520921,5857634103
1743239746.0897436,2,3,7695656775,141826
1743239746.162911,1,4294967294,0,0
1743239746.1666853,1,1,5773276794,3815881850
1743239746.1667995,1,2,4977810461,10918151986
1743239746.1668916,1,3,11679883563,3817331710
1743239750.225159,4,4294967294,0,0
1743239750.2252023,4,1,3980553010,11927014843
1743239750.225214,4,4,7964944844,20508
1743239750.2252226,4,2,9897485468,6064667787
1743239750.2252307,4,5,7975096722,21056
